node,x,y,z,layer,r,c,role
0,0,0,0,conv1,0,0,accumulator
1,1,0,0,conv1,0,1,accumulator
2,2,0,0,conv1,0,2,accumulator
3,3,0,0,conv1,0,3,accumulator
4,4,0,0,conv2,0,0,accumulator
5,5,0,0,conv2,0,1,accumulator
6,0,1,0,conv2,0,2,accumulator
7,1,1,0,conv2,0,3,accumulator
8,2,1,0,conv2,1,0,tile
9,3,1,0,conv2,1,1,tile
10,4,1,0,conv2,1,2,tile
11,5,1,0,conv2,1,3,tile
12,0,2,0,conv2,2,0,tile
13,1,2,0,conv2,2,1,tile
14,2,2,0,conv2,2,2,tile
15,3,2,0,conv2,2,3,tile
16,4,2,0,conv2,3,0,tile
17,5,2,0,conv2,3,1,tile
18,0,3,0,conv2,3,2,tile
19,1,3,0,conv2,3,3,tile
20,2,3,0,conv2,4,0,tile
21,3,3,0,conv2,4,1,tile
22,4,3,0,conv2,4,2,tile
23,5,3,0,conv2,4,3,tile
24,0,4,0,conv3,0,0,accumulator
25,1,4,0,conv3,0,1,accumulator
26,2,4,0,conv3,0,2,accumulator
27,3,4,0,conv3,0,3,accumulator
28,4,4,0,conv3,0,4,accumulator
29,5,4,0,conv3,0,5,accumulator
30,0,5,0,conv3,0,6,accumulator
31,1,5,0,conv3,0,7,accumulator
32,2,5,0,conv3,0,8,accumulator
33,3,5,0,conv3,0,9,accumulator
34,4,5,0,conv3,0,10,accumulator
35,5,5,0,conv3,0,11,accumulator
36,0,0,1,conv3,0,12,accumulator
37,1,0,1,conv3,0,13,accumulator
38,2,0,1,conv3,0,14,accumulator
39,3,0,1,conv3,0,15,accumulator
40,4,0,1,shortcut,0,0,accumulator
41,5,0,1,shortcut,0,1,accumulator
42,0,1,1,shortcut,0,2,accumulator
43,1,1,1,shortcut,0,3,accumulator
44,2,1,1,shortcut,0,4,accumulator
45,3,1,1,shortcut,0,5,accumulator
46,4,1,1,shortcut,0,6,accumulator
47,5,1,1,shortcut,0,7,accumulator
48,0,2,1,shortcut,0,8,accumulator
49,1,2,1,shortcut,0,9,accumulator
50,2,2,1,shortcut,0,10,accumulator
51,3,2,1,shortcut,0,11,accumulator
52,4,2,1,shortcut,0,12,accumulator
53,5,2,1,shortcut,0,13,accumulator
54,0,3,1,shortcut,0,14,accumulator
55,1,3,1,shortcut,0,15,accumulator
56,2,3,1,-,,,idle
57,3,3,1,-,,,idle
58,4,3,1,-,,,idle
59,5,3,1,-,,,idle
60,0,4,1,-,,,idle
61,1,4,1,-,,,idle
62,2,4,1,-,,,idle
63,3,4,1,-,,,idle
64,4,4,1,-,,,idle
65,5,4,1,-,,,idle
66,0,5,1,-,,,idle
67,1,5,1,-,,,idle
68,2,5,1,-,,,idle
69,3,5,1,-,,,idle
70,4,5,1,-,,,idle
71,5,5,1,-,,,idle
72,0,0,2,-,,,idle
73,1,0,2,-,,,idle
74,2,0,2,-,,,idle
75,3,0,2,-,,,idle
76,4,0,2,-,,,idle
77,5,0,2,-,,,idle
78,0,1,2,-,,,idle
79,1,1,2,-,,,idle
80,2,1,2,-,,,idle
81,3,1,2,-,,,idle
82,4,1,2,-,,,idle
83,5,1,2,-,,,idle
84,0,2,2,-,,,idle
85,1,2,2,-,,,idle
86,2,2,2,-,,,idle
87,3,2,2,-,,,idle
88,4,2,2,-,,,idle
89,5,2,2,-,,,idle
90,0,3,2,-,,,idle
91,1,3,2,-,,,idle
92,2,3,2,-,,,idle
93,3,3,2,-,,,idle
94,4,3,2,-,,,idle
95,5,3,2,-,,,idle
96,0,4,2,-,,,idle
97,1,4,2,-,,,idle
98,2,4,2,-,,,idle
99,3,4,2,-,,,idle
100,4,4,2,-,,,idle
101,5,4,2,-,,,idle
102,0,5,2,-,,,idle
103,1,5,2,-,,,idle
104,2,5,2,-,,,idle
105,3,5,2,-,,,idle
106,4,5,2,-,,,idle
107,5,5,2,-,,,idle
