node,x,y,z,layer,r,c,role
0,0,0,0,shortcut,0,0,accumulator
1,1,0,0,shortcut,0,2,accumulator
2,2,0,0,shortcut,0,4,accumulator
3,3,0,0,shortcut,0,6,accumulator
4,4,0,0,conv2,0,0,accumulator
5,5,0,0,conv2,1,1,tile
6,0,1,0,shortcut,1,0,tile
7,1,1,0,shortcut,1,2,tile
8,2,1,0,shortcut,1,4,tile
9,3,1,0,shortcut,1,6,tile
10,4,1,0,conv2,3,0,tile
11,5,1,0,conv2,4,1,tile
12,0,2,0,shortcut,2,0,tile
13,1,2,0,shortcut,2,2,tile
14,2,2,0,shortcut,2,4,tile
15,3,2,0,shortcut,2,6,tile
16,4,2,0,conv2,6,0,tile
17,5,2,0,conv2,7,1,tile
18,0,3,0,shortcut,3,0,tile
19,1,3,0,shortcut,3,2,tile
20,2,3,0,shortcut,3,4,tile
21,3,3,0,shortcut,3,6,tile
22,4,3,0,conv2,9,0,tile
23,5,3,0,conv2,10,1,tile
24,0,4,0,conv1,0,0,accumulator
25,1,4,0,conv1,0,1,accumulator
26,2,4,0,conv1,1,0,tile
27,3,4,0,conv1,1,1,tile
28,4,4,0,conv2,12,0,tile
29,5,4,0,conv2,13,1,tile
30,0,5,0,conv1,2,0,tile
31,1,5,0,conv1,2,1,tile
32,2,5,0,conv1,3,0,tile
33,3,5,0,conv1,3,1,tile
34,4,5,0,conv2,15,0,tile
35,5,5,0,conv2,16,1,tile
36,0,0,1,shortcut,0,1,accumulator
37,1,0,1,shortcut,0,3,accumulator
38,2,0,1,shortcut,0,5,accumulator
39,3,0,1,shortcut,0,7,accumulator
40,4,0,1,conv2,0,1,accumulator
41,5,0,1,conv2,2,0,tile
42,0,1,1,shortcut,1,1,tile
43,1,1,1,shortcut,1,3,tile
44,2,1,1,shortcut,1,5,tile
45,3,1,1,shortcut,1,7,tile
46,4,1,1,conv2,3,1,tile
47,5,1,1,conv2,5,0,tile
48,0,2,1,shortcut,2,1,tile
49,1,2,1,shortcut,2,3,tile
50,2,2,1,shortcut,2,5,tile
51,3,2,1,shortcut,2,7,tile
52,4,2,1,conv2,6,1,tile
53,5,2,1,conv2,8,0,tile
54,0,3,1,shortcut,3,1,tile
55,1,3,1,shortcut,3,3,tile
56,2,3,1,shortcut,3,5,tile
57,3,3,1,shortcut,3,7,tile
58,4,3,1,conv2,9,1,tile
59,5,3,1,conv2,11,0,tile
60,0,4,1,-,,,idle
61,1,4,1,-,,,idle
62,2,4,1,-,,,idle
63,3,4,1,-,,,idle
64,4,4,1,conv2,12,1,tile
65,5,4,1,conv2,14,0,tile
66,0,5,1,-,,,idle
67,1,5,1,-,,,idle
68,2,5,1,-,,,idle
69,3,5,1,-,,,idle
70,4,5,1,conv2,15,1,tile
71,5,5,1,conv2,17,0,tile
72,0,0,2,conv3,0,0,accumulator
73,1,0,2,conv3,0,1,accumulator
74,2,0,2,conv3,0,2,accumulator
75,3,0,2,conv3,0,3,accumulator
76,4,0,2,conv2,1,0,tile
77,5,0,2,conv2,2,1,tile
78,0,1,2,conv3,0,4,accumulator
79,1,1,2,conv3,0,5,accumulator
80,2,1,2,conv3,0,6,accumulator
81,3,1,2,conv3,0,7,accumulator
82,4,1,2,conv2,4,0,tile
83,5,1,2,conv2,5,1,tile
84,0,2,2,conv3,1,0,tile
85,1,2,2,conv3,1,1,tile
86,2,2,2,conv3,1,2,tile
87,3,2,2,conv3,1,3,tile
88,4,2,2,conv2,7,0,tile
89,5,2,2,conv2,8,1,tile
90,0,3,2,conv3,1,4,tile
91,1,3,2,conv3,1,5,tile
92,2,3,2,conv3,1,6,tile
93,3,3,2,conv3,1,7,tile
94,4,3,2,conv2,10,0,tile
95,5,3,2,conv2,11,1,tile
96,0,4,2,-,,,idle
97,1,4,2,-,,,idle
98,2,4,2,-,,,idle
99,3,4,2,-,,,idle
100,4,4,2,conv2,13,0,tile
101,5,4,2,conv2,14,1,tile
102,0,5,2,-,,,idle
103,1,5,2,-,,,idle
104,2,5,2,-,,,idle
105,3,5,2,-,,,idle
106,4,5,2,conv2,16,0,tile
107,5,5,2,conv2,17,1,tile
